Date Time,Amount,Category,Payment Mode,User Income,Subscription
2023-10-30 22:00:00,3216,Travel,UPI,70000,No
2023-02-05 20:00:00,1295,Food,Net Banking,70000,No
2023-08-13 14:00:00,103,Transport,Card,50000,No
2023-08-05 07:00:00,2960,Travel,Net Banking,70000,No
2023-08-27 22:00:00,2446,Travel,UPI,70000,No
2023-09-19 01:00:00,492,Shopping,Cash,50000,Yes
2023-01-20 10:00:00,4725,Transport,Card,100000,Yes
2023-07-04 10:00:00,3661,Shopping,UPI,30000,Yes
2023-08-21 10:00:00,4427,Entertainment,Card,100000,No
2023-12-13 18:00:00,2457,Travel,Net Banking,30000,No
2023-03-12 05:00:00,872,Transport,Cash,50000,No
2023-02-02 01:00:00,3752,Travel,Cash,100000,Yes
2023-10-17 13:00:00,2989,Entertainment,UPI,100000,No
2023-04-12 09:00:00,4786,Groceries,Card,30000,No
2023-08-10 07:00:00,1081,Entertainment,Cash,30000,No
2023-07-30 11:00:00,2066,Shopping,Card,30000,No
2023-09-25 12:00:00,612,Shopping,Net Banking,30000,No
2023-02-19 08:00:00,2588,Travel,Net Banking,70000,Yes
2023-07-09 19:00:00,390,Shopping,UPI,50000,No
2023-05-22 01:00:00,4617,Transport,Cash,30000,Yes
2023-09-24 12:00:00,3825,Entertainment,Cash,100000,No
2023-12-28 02:00:00,2346,Travel,Card,100000,Yes
2024-01-22 10:00:00,284,Entertainment,Net Banking,100000,No
2023-04-17 14:00:00,1166,Entertainment,Cash,30000,Yes
2023-11-24 01:00:00,1958,Travel,UPI,50000,No
2023-03-27 07:00:00,1467,Groceries,UPI,70000,No
2023-04-25 11:00:00,4969,Shopping,Cash,30000,No
2024-01-17 23:00:00,1341,Food,UPI,30000,No
2024-02-21 14:00:00,3538,Food,Cash,70000,No
2023-01-08 21:00:00,4777,Food,Cash,50000,No
2023-04-24 22:00:00,3704,Shopping,Cash,30000,No
2023-05-06 05:00:00,578,Groceries,Cash,100000,No
2023-07-14 02:00:00,3374,Entertainment,Card,100000,No
2023-03-21 03:00:00,2030,Travel,Cash,30000,No
2023-11-19 06:00:00,2989,Groceries,UPI,50000,No
2023-02-22 19:00:00,1379,Food,Net Banking,100000,No
2023-03-05 16:00:00,1283,Transport,Card,100000,No
2023-05-29 04:00:00,1803,Shopping,Net Banking,70000,No
2023-06-12 02:00:00,2850,Shopping,Net Banking,50000,No
2024-01-04 06:00:00,2983,Travel,Net Banking,30000,No
2023-08-13 17:00:00,2809,Transport,Net Banking,70000,Yes
2024-01-02 08:00:00,2825,Entertainment,Net Banking,70000,No
2023-12-18 09:00:00,3537,Groceries,UPI,70000,No
2023-11-10 01:00:00,3900,Transport,Cash,50000,No
2023-04-19 20:00:00,2577,Groceries,UPI,50000,No
2023-10-21 09:00:00,940,Groceries,Card,50000,No
2024-02-03 03:00:00,2115,Entertainment,UPI,30000,No
2023-09-17 19:00:00,1238,Entertainment,Card,50000,No
2023-08-17 14:00:00,4347,Entertainment,Cash,70000,No
2023-10-23 19:00:00,790,Travel,Net Banking,100000,No
2024-02-07 22:00:00,1419,Shopping,Cash,30000,Yes
2023-02-02 07:00:00,1439,Food,UPI,30000,Yes
2023-12-09 18:00:00,2050,Entertainment,UPI,30000,No
2023-05-12 08:00:00,1521,Shopping,Cash,70000,No
2023-03-08 01:00:00,1586,Entertainment,Cash,50000,No
2023-06-14 07:00:00,368,Food,UPI,70000,No
2023-11-11 19:00:00,2314,Transport,Cash,100000,Yes
2023-05-09 01:00:00,1944,Entertainment,Card,50000,No
2023-02-12 13:00:00,3761,Shopping,Card,100000,No
